State,County,Date,Cases,Deaths
22,Acadia,01/22/20,0,0
22,Allen,01/22/20,0,0
22,Ascension,01/22/20,0,0
22,Assumption,01/22/20,0,0
22,Avoyelles,01/22/20,0,0
22,Beauregard,01/22/20,0,0
22,Bienville,01/22/20,0,0
22,Bossier,01/22/20,0,0
22,Caddo,01/22/20,0,0
22,Calcasieu,01/22/20,0,0
22,Caldwell,01/22/20,0,0
22,Cameron,01/22/20,0,0
22,Catahoula,01/22/20,0,0
22,Claiborne,01/22/20,0,0
22,Concordia,01/22/20,0,0
22,De Soto,01/22/20,0,0
22,East Baton Rouge,01/22/20,0,0
22,East Carroll,01/22/20,0,0
22,East Feliciana,01/22/20,0,0
22,Evangeline,01/22/20,0,0
22,Franklin,01/22/20,0,0
22,Grant,01/22/20,0,0
22,Iberia,01/22/20,0,0
22,Iberville,01/22/20,0,0
22,Jackson,01/22/20,0,0
22,Jefferson,01/22/20,0,0
22,Jefferson Davis,01/22/20,0,0
22,Lafayette,01/22/20,0,0
22,Lafourche,01/22/20,0,0
22,La Salle,01/22/20,0,0
22,Lincoln,01/22/20,0,0
22,Livingston,01/22/20,0,0
22,Madison,01/22/20,0,0
22,Morehouse,01/22/20,0,0
22,Natchitoches,01/22/20,0,0
22,Orleans,01/22/20,0,0
22,Ouachita,01/22/20,0,0
22,Plaquemines,01/22/20,0,0
22,Pointe Coupee,01/22/20,0,0
22,Rapides,01/22/20,0,0
22,Red River,01/22/20,0,0
22,Richland,01/22/20,0,0
22,Sabine,01/22/20,0,0
22,St. Bernard,01/22/20,0,0
22,St. Charles,01/22/20,0,0
22,St. Helena,01/22/20,0,0
22,St. James,01/22/20,0,0
22,St. John the Baptist,01/22/20,0,0
22,St. Landry,01/22/20,0,0
22,St. Martin,01/22/20,0,0
22,St. Mary,01/22/20,0,0
22,St. Tammany,01/22/20,0,0
22,Tangipahoa,01/22/20,0,0
22,Tensas,01/22/20,0,0
22,Terrebonne,01/22/20,0,0
22,Union,01/22/20,0,0
22,Vermilion,01/22/20,0,0
22,Vernon,01/22/20,0,0
22,Washington,01/22/20,0,0
22,Webster,01/22/20,0,0
22,West Baton Rouge,01/22/20,0,0
22,West Carroll,01/22/20,0,0
22,West Feliciana,01/22/20,0,0
22,Winn,01/22/20,0,0
22,Unknown,01/22/20,0,0
22,Acadia,01/23/20,0,0
22,Allen,01/23/20,0,0
22,Ascension,01/23/20,0,0
22,Assumption,01/23/20,0,0
22,Avoyelles,01/23/20,0,0
22,Beauregard,01/23/20,0,0
22,Bienville,01/23/20,0,0
22,Bossier,01/23/20,0,0
22,Caddo,01/23/20,0,0
22,Calcasieu,01/23/20,0,0
22,Caldwell,01/23/20,0,0
22,Cameron,01/23/20,0,0
22,Catahoula,01/23/20,0,0
22,Claiborne,01/23/20,0,0
22,Concordia,01/23/20,0,0
22,De Soto,01/23/20,0,0
22,East Baton Rouge,01/23/20,0,0
22,East Carroll,01/23/20,0,0
22,East Feliciana,01/23/20,0,0
22,Evangeline,01/23/20,0,0
22,Franklin,01/23/20,0,0
22,Grant,01/23/20,0,0
22,Iberia,01/23/20,0,0
22,Iberville,01/23/20,0,0
22,Jackson,01/23/20,0,0
22,Jefferson,01/23/20,0,0
22,Jefferson Davis,01/23/20,0,0
22,Lafayette,01/23/20,0,0
22,Lafourche,01/23/20,0,0
22,La Salle,01/23/20,0,0
22,Lincoln,01/23/20,0,0
22,Livingston,01/23/20,0,0
22,Madison,01/23/20,0,0
22,Morehouse,01/23/20,0,0
22,Natchitoches,01/23/20,0,0
22,Orleans,01/23/20,0,0
22,Ouachita,01/23/20,0,0
22,Plaquemines,01/23/20,0,0
22,Pointe Coupee,01/23/20,0,0
22,Rapides,01/23/20,0,0
22,Red River,01/23/20,0,0
22,Richland,01/23/20,0,0
22,Sabine,01/23/20,0,0
22,St. Bernard,01/23/20,0,0
22,St. Charles,01/23/20,0,0
22,St. Helena,01/23/20,0,0
22,St. James,01/23/20,0,0
22,St. John the Baptist,01/23/20,0,0
22,St. Landry,01/23/20,0,0
22,St. Martin,01/23/20,0,0
22,St. Mary,01/23/20,0,0
22,St. Tammany,01/23/20,0,0
22,Tangipahoa,01/23/20,0,0
22,Tensas,01/23/20,0,0
22,Terrebonne,01/23/20,0,0
22,Union,01/23/20,0,0
22,Vermilion,01/23/20,0,0
22,Vernon,01/23/20,0,0
22,Washington,01/23/20,0,0
22,Webster,01/23/20,0,0
22,West Baton Rouge,01/23/20,0,0
22,West Carroll,01/23/20,0,0
22,West Feliciana,01/23/20,0,0
22,Winn,01/23/20,0,0
22,Unknown,01/23/20,0,0
22,Acadia,01/24/20,0,0
22,Allen,01/24/20,0,0
22,Ascension,01/24/20,0,0
22,Assumption,01/24/20,0,0
22,Avoyelles,01/24/20,0,0
22,Beauregard,01/24/20,0,0
22,Bienville,01/24/20,0,0
22,Bossier,01/24/20,0,0
22,Caddo,01/24/20,0,0
22,Calcasieu,01/24/20,0,0
22,Caldwell,01/24/20,0,0
22,Cameron,01/24/20,0,0
22,Catahoula,01/24/20,0,0
22,Claiborne,01/24/20,0,0
22,Concordia,01/24/20,0,0
22,De Soto,01/24/20,0,0
22,East Baton Rouge,01/24/20,0,0
22,East Carroll,01/24/20,0,0
22,East Feliciana,01/24/20,0,0
22,Evangeline,01/24/20,0,0
22,Franklin,01/24/20,0,0
22,Grant,01/24/20,0,0
22,Iberia,01/24/20,0,0
