State,County,Date,Cases,Deaths
45,Abbeville,1/22/20,0,0
45,Aiken,1/22/20,0,0
45,Allendale,1/22/20,0,0
45,Anderson,1/22/20,0,0
45,Bamberg,1/22/20,0,0
45,Barnwell,1/22/20,0,0
45,Beaufort,1/22/20,0,0
45,Berkeley,1/22/20,0,0
45,Calhoun,1/22/20,0,0
45,Charleston,1/22/20,0,0
45,Cherokee,1/22/20,0,0
45,Chester,1/22/20,0,0
45,Chesterfield,1/22/20,0,0
45,Clarendon,1/22/20,0,0
45,Colleton,1/22/20,0,0
45,Darlington,1/22/20,0,0
45,Dillon,1/22/20,0,0
45,Dorchester,1/22/20,0,0
45,Edgefield,1/22/20,0,0
45,Fairfield,1/22/20,0,0
45,Florence,1/22/20,0,0
45,Georgetown,1/22/20,0,0
45,Greenville,1/22/20,0,0
45,Greenwood,1/22/20,0,0
45,Hampton,1/22/20,0,0
45,Horry,1/22/20,0,0
45,Jasper,1/22/20,0,0
45,Kershaw,1/22/20,0,0
45,Lancaster,1/22/20,0,0
45,Laurens,1/22/20,0,0
45,Lee,1/22/20,0,0
45,Lexington,1/22/20,0,0
45,McCormick,1/22/20,0,0
45,Marion,1/22/20,0,0
45,Marlboro,1/22/20,0,0
45,Newberry,1/22/20,0,0
45,Oconee,1/22/20,0,0
45,Orangeburg,1/22/20,0,0
45,Pickens,1/22/20,0,0
45,Richland,1/22/20,0,0
45,Saluda,1/22/20,0,0
45,Spartanburg,1/22/20,0,0
45,Sumter,1/22/20,0,0
45,Union,1/22/20,0,0
45,Williamsburg,1/22/20,0,0
45,York,1/22/20,0,0
45,Abbeville,1/23/20,0,0
45,Aiken,1/23/20,0,0
45,Allendale,1/23/20,0,0
45,Anderson,1/23/20,0,0
45,Bamberg,1/23/20,0,0
45,Barnwell,1/23/20,0,0
45,Beaufort,1/23/20,0,0
45,Berkeley,1/23/20,0,0
45,Calhoun,1/23/20,0,0
45,Charleston,1/23/20,0,0
45,Cherokee,1/23/20,0,0
45,Chester,1/23/20,0,0
45,Chesterfield,1/23/20,0,0
45,Clarendon,1/23/20,0,0
45,Colleton,1/23/20,0,0
45,Darlington,1/23/20,0,0
45,Dillon,1/23/20,0,0
45,Dorchester,1/23/20,0,0
45,Edgefield,1/23/20,0,0
45,Fairfield,1/23/20,0,0
45,Florence,1/23/20,0,0
45,Georgetown,1/23/20,0,0
45,Greenville,1/23/20,0,0
45,Greenwood,1/23/20,0,0
45,Hampton,1/23/20,0,0
45,Horry,1/23/20,0,0
45,Jasper,1/23/20,0,0
45,Kershaw,1/23/20,0,0
45,Lancaster,1/23/20,0,0
45,Laurens,1/23/20,0,0
45,Lee,1/23/20,0,0
45,Lexington,1/23/20,0,0
45,McCormick,1/23/20,0,0
45,Marion,1/23/20,0,0
45,Marlboro,1/23/20,0,0
45,Newberry,1/23/20,0,0
45,Oconee,1/23/20,0,0
45,Orangeburg,1/23/20,0,0
45,Pickens,1/23/20,0,0
45,Richland,1/23/20,0,0
45,Saluda,1/23/20,0,0
45,Spartanburg,1/23/20,0,0
45,Sumter,1/23/20,0,0
45,Union,1/23/20,0,0
45,Williamsburg,1/23/20,0,0
45,York,1/23/20,0,0
45,Abbeville,1/24/20,0,0
45,Aiken,1/24/20,0,0
45,Allendale,1/24/20,0,0
45,Anderson,1/24/20,0,0
45,Bamberg,1/24/20,0,0
45,Barnwell,1/24/20,0,0
45,Beaufort,1/24/20,0,0
45,Berkeley,1/24/20,0,0
45,Calhoun,1/24/20,0,0
45,Charleston,1/24/20,0,0
45,Cherokee,1/24/20,0,0
45,Chester,1/24/20,0,0
45,Chesterfield,1/24/20,0,0
45,Clarendon,1/24/20,0,0
45,Colleton,1/24/20,0,0
45,Darlington,1/24/20,0,0
45,Dillon,1/24/20,0,0
45,Dorchester,1/24/20,0,0
45,Edgefield,1/24/20,0,0
45,Fairfield,1/24/20,0,0
45,Florence,1/24/20,0,0
45,Georgetown,1/24/20,0,0
45,Greenville,1/24/20,0,0
45,Greenwood,1/24/20,0,0
45,Hampton,1/24/20,0,0
45,Horry,1/24/20,0,0
45,Jasper,1/24/20,0,0
45,Kershaw,1/24/20,0,0
45,Lancaster,1/24/20,0,0
45,Laurens,1/24/20,0,0
45,Lee,1/24/20,0,0
45,Lexington,1/24/20,0,0
45,McCormick,1/24/20,0,0
45,Marion,1/24/20,0,0
45,Marlboro,1/24/20,0,0
45,Newberry,1/24/20,0,0
45,Oconee,1/24/20,0,0
45,Orangeburg,1/24/20,0,0
45,Pickens,1/24/20,0,0
45,Richland,1/24/20,0,0
45,Saluda,1/24/20,0,0
45,Spartanburg,1/24/20,0,0
45,Sumter,1/24/20,0,0
45,Union,1/24/20,0,0
45,Williamsburg,1/24/20,0,0
45,York,1/24/20,0,0
45,Abbeville,1/25/20,0,0
45,Aiken,1/25/20,0,0
45,Allendale,1/25/20,0,0
45,Anderson,1/25/20,0,0
45,Bamberg,1/25/20,0,0
45,Barnwell,1/25/20,0,0
45,Beaufort,1/25/20,0,0
45,Berkeley,1/25/20,0,0
45,Calhoun,1/25/20,0,0
45,Charleston,1/25/20,0,0
45,Cherokee,1/25/20,0,0
45,Chester,1/25/20,0,0
45,Chesterfield,1/25/20,0,0
45,Clarendon,1/25/20,0,0
45,Colleton,1/25/20,0,0
45,Darlington,1/25/20,0,0
45,Dillon,1/25/20,0,0
45,Dorchester,1/25/20,0,0
45,Edgefield,1/25/20,0,0
45,Fairfield,1/25/20,0,0
45,Florence,1/25/20,0,0
45,Georgetown,1/25/20,0,0
45,Greenville,1/25/20,0,0
45,Greenwood,1/25/20,0,0
45,Hampton,1/25/20,0,0
45,Horry,1/25/20,0,0
45,Jasper,1/25/20,0,0
45,Kershaw,1/25/20,0,0
45,Lancaster,1/25/20,0,0
45,Laurens,1/25/20,0,0
45,Lee,1/25/20,0,0
45,Lexington,1/25/20,0,0
45,McCormick,1/25/20,0,0
45,Marion,1/25/20,0,0
45,Marlboro,1/25/20,0,0
45,Newberry,1/25/20,0,0
45,Oconee,1/25/20,0,0
45,Orangeburg,1/25/20,0,0
45,Pickens,1/25/20,0,0
45,Richland,1/25/20,0,0
45,Saluda,1/25/20,0,0
45,Spartanburg,1/25/20,0,0
45,Sumter,1/25/20,0,0
45,Union,1/25/20,0,0
45,Williamsburg,1/25/20,0,0
45,York,1/25/20,0,0
45,Abbeville,1/26/20,0,0
45,Aiken,1/26/20,0,0
45,Allendale,1/26/20,0,0
45,Anderson,1/26/20,0,0
45,Bamberg,1/26/20,0,0
45,Barnwell,1/26/20,0,0
45,Beaufort,1/26/20,0,0
45,Berkeley,1/26/20,0,0
45,Calhoun,1/26/20,0,0
45,Charleston,1/26/20,0,0
45,Cherokee,1/26/20,0,0
45,Chester,1/26/20,0,0
45,Chesterfield,1/26/20,0,0
45,Clarendon,1/26/20,0,0
45,Colleton,1/26/20,0,0
45,Darlington,1/26/20,0,0
45,Dillon,1/26/20,0,0
45,Dorchester,1/26/20,0,0
45,Edgefield,1/26/20,0,0
45,Fairfield,1/26/20,0,0
45,Florence,1/26/20,0,0
45,Georgetown,1/26/20,0,0
45,Greenville,1/26/20,0,0
45,Greenwood,1/26/20,0,0
45,Hampton,1/26/20,0,0
45,Horry,1/26/20,0,0
45,Jasper,1/26/20,0,0
45,Kershaw,1/26/20,0,0
45,Lancaster,1/26/20,0,0
45,Laurens,1/26/20,0,0
45,Lee,1/26/20,0,0
45,Lexington,1/26/20,0,0
45,McCormick,1/26/20,0,0
45,Marion,1/26/20,0,0
45,Marlboro,1/26/20,0,0
45,Newberry,1/26/20,0,0
45,Oconee,1/26/20,0,0
45,Orangeburg,1/26/20,0,0
45,Pickens,1/26/20,0,0
45,Richland,1/26/20,0,0
45,Saluda,1/26/20,0,0
45,Spartanburg,1/26/20,0,0
45,Sumter,1/26/20,0,0
45,Union,1/26/20,0,0
45,Williamsburg,1/26/20,0,0
45,York,1/26/20,0,0
45,Abbeville,1/27/20,0,0
45,Aiken,1/27/20,0,0
45,Allendale,1/27/20,0,0
45,Anderson,1/27/20,0,0
45,Bamberg,1/27/20,0,0
45,Barnwell,1/27/20,0,0
45,Beaufort,1/27/20,0,0
45,Berkeley,1/27/20,0,0
45,Calhoun,1/27/20,0,0
45,Charleston,1/27/20,0,0
45,Cherokee,1/27/20,0,0
45,Chester,1/27/20,0,0
45,Chesterfield,1/27/20,0,0
45,Clarendon,1/27/20,0,0
45,Colleton,1/27/20,0,0
45,Darlington,1/27/20,0,0
45,Dillon,1/27/20,0,0
45,Dorchester,1/27/20,0,0
45,Edgefield,1/27/20,0,0
45,Fairfield,1/27/20,0,0
45,Florence,1/27/20,0,0
45,Georgetown,1/27/20,0,0
